gpstime,lat,lon,alt,stdlat,stdlon,stdalt,roll,pitch,head,mntroll,mntpitch,mntyaw,quality,HDOP,numSV,sep
204002.8,24.9770183333,121.5511768333,24.1,0.039,0.046,0.51,0.51397,-0.89611,18.99361,0.71,3.95,359.48,2,0.58,12,17.1
204003.1,24.9770183333,121.5511768333,24.1,0.039,0.046,0.51,0.50642,-0.89646,18.99262,0.71,3.95,359.48,2,0.58,12,17.1
204003.4,24.9770183333,121.5511768333,24.1,0.039,0.046,0.51,0.52243,-0.90289,18.99185,0.71,3.95,359.48,2,0.58,12,17.1
204003.7,24.9770183333,121.5511768333,24.1,0.039,0.046,0.51,0.51431,-0.90215,18.99282,0.71,3.95,359.48,2,0.58,12,17.1
204004.0,24.9770183333,121.5511768333,24.1,0.039,0.046,0.51,0.52404,-0.89785,18.99301,0.71,3.95,359.48,2,0.58,12,17.1
204004.1,24.9770183333,121.5511768333,24.1,0.039,0.046,0.51,0.52448,-0.89935,18.99397,0.71,3.95,359.48,2,0.58,12,17.1
204004.2,24.9770183333,121.5511768333,24.1,0.039,0.046,0.51,0.52302,-0.90113,18.99502,0.71,3.95,359.48,2,0.58,12,17.1
204004.3,24.9770183333,121.5511768333,24.1,0.039,0.046,0.51,0.53218,-0.90585,18.99614,0.71,3.95,359.48,2,0.58,12,17.1
204004.4,24.9770183333,121.5511768333,24.1,0.039,0.046,0.51,0.53186,-0.91188,18.99515,0.71,3.95,359.48,2,0.58,12,17.1
204004.5,24.9770183333,121.5511768333,24.1,0.039,0.046,0.51,0.53288,-0.91229,18.99376,0.71,3.95,359.48,2,0.58,12,17.1
204004.6,24.9770183333,121.5511768333,24.1,0.039,0.046,0.51,0.53467,-0.91563,18.99283,0.71,3.95,359.48,2,0.58,12,17.1
204004.7,24.9770183333,121.5511768333,24.1,0.039,0.046,0.51,0.53827,-0.91707,18.99392,0.71,3.95,359.48,2,0.58,12,17.1
